Series,SetName,TotalSetCardCount,SetCode,CardName,CardNumber,Rarity,MedPrice,Evolution,ImageName
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Darmanitan,028,Rare,-----,Stage 1,en_US-SWSH3-028-galarian_darmanitan.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Larvesta,029,Common,$0.15,Basic,en_US-SWSH3-029-larvesta.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Volcarona,030,Rare,$0.31,Stage 1,en_US-SWSH3-030-volcarona.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Fletchinder,031,Uncommon,$0.21,Stage 1,en_US-SWSH3-031-fletchinder.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Talonflame,032,Rare,$0.30,Stage 2,en_US-SWSH3-032-talonflame.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Centiskorch V,033,Rare Holo V,$2.99,Basic,en_US-SWSH3-033-centiskorch_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Centiskorch VMAX,034,Rare Holo VMAX,$11.58,VMAX,en_US-SWSH3-034-centiskorch_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Mr. Mime,035,Common,$0.15,Basic,en_US-SWSH3-035-galarian_mr_mime.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Mr. Rime,036,Rare,$1.36,Stage 1,en_US-SWSH3-036-galarian_mr_rime.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Suicune,037,Rare Holo,$0.43,Basic,en_US-SWSH3-037-suicune.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Feebas,038,Common,$0.15,Basic,en_US-SWSH3-038-feebas.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Milotic,039,Rare Holo,$0.50,Stage 1,en_US-SWSH3-039-milotic.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Relicanth,040,Uncommon,$0.16,Basic,en_US-SWSH3-040-relicanth.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Panpour,041,Common,$0.15,Basic,en_US-SWSH3-041-panpour.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Simipour,042,Uncommon,$0.15,Stage 1,en_US-SWSH3-042-simipour.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Darumaka,043,Common,$0.15,Basic,en_US-SWSH3-043-galarian_darumaka.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Darmanitan,044,Rare,-----,Stage 1,en_US-SWSH3-044-galarian_darmanitan.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Vanillite,045,Common,$0.15,Basic,en_US-SWSH3-045-vanillite.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Vanillish,046,Uncommon,$0.15,Stage 1,en_US-SWSH3-046-vanillish.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Vanilluxe,047,Rare,$0.20,Stage 2,en_US-SWSH3-047-vanilluxe.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Cubchoo,048,Common,$0.15,Basic,en_US-SWSH3-048-cubchoo.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Beartic,049,Rare,$0.25,Stage 1,en_US-SWSH3-049-beartic.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Wishiwashi,050,Common,$0.19,Basic,en_US-SWSH3-050-wishiwashi.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Mareanie,051,Common,$0.15,Basic,en_US-SWSH3-051-mareanie.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Toxapex,052,Uncommon,$0.15,Stage 1,en_US-SWSH3-052-toxapex.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Dracovish,053,Rare Holo,$0.52,Stage 1,en_US-SWSH3-053-dracovish.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Arctovish,054,Rare,$0.25,Stage 1,en_US-SWSH3-054-arctovish.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Mareep,055,Common,$0.15,Basic,en_US-SWSH3-055-mareep.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Flaaffy,056,Uncommon,$0.16,Stage 1,en_US-SWSH3-056-flaaffy.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Ampharos,057,Rare,$0.20,Stage 2,en_US-SWSH3-057-ampharos.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Electrike,058,Common,$0.15,Basic,en_US-SWSH3-058-electrike.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Manectric,059,Rare,$0.32,Stage 1,en_US-SWSH3-059-manectric.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Vikavolt V,060,Rare Holo V,$2.98,Basic,en_US-SWSH3-060-vikavolt_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Tapu Koko,061,Rare Holo,$0.30,Basic,en_US-SWSH3-061-tapu_koko.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Toxel,062,Common,$0.16,Basic,en_US-SWSH3-062-toxel.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Toxtricity,063,Rare Holo,$0.40,Stage 1,en_US-SWSH3-063-toxtricity.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Pincurchin,064,Rare Holo,$0.34,Basic,en_US-SWSH3-064-pincurchin.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Dracozolt,065,Rare,$0.20,Stage 1,en_US-SWSH3-065-dracozolt.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Arctozolt,066,Rare Holo,$0.76,Stage 1,en_US-SWSH3-066-arctozolt.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Jigglypuff,067,Common,$0.16,Basic,en_US-SWSH3-067-jigglypuff.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Wigglytuff,068,Rare,$0.25,Stage 1,en_US-SWSH3-068-wigglytuff.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Mew V,069,Rare Holo V,$3.57,Basic,en_US-SWSH3-069-mew_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Snubbull,070,Common,$0.15,Basic,en_US-SWSH3-070-snubbull.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Granbull,071,Rare,$0.24,Stage 1,en_US-SWSH3-071-granbull.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Lunatone,072,Uncommon,$0.15,Basic,en_US-SWSH3-072-lunatone.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Gothita,073,Common,$0.15,Basic,en_US-SWSH3-073-gothita.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Gothorita,074,Uncommon,$0.15,Stage 1,en_US-SWSH3-074-gothorita.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Gothitelle,075,Rare,$0.20,Stage 2,en_US-SWSH3-075-gothitelle.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Golett,076,Common,$0.15,Basic,en_US-SWSH3-076-golett.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Golurk,077,Rare,$0.20,Stage 1,en_US-SWSH3-077-golurk.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Dedenne,078,Uncommon,$0.25,Basic,en_US-SWSH3-078-dedenne.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Morelull,079,Common,$0.15,Basic,en_US-SWSH3-079-morelull.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Shiinotic,080,Uncommon,$0.15,Stage 1,en_US-SWSH3-080-shiinotic.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Mimikyu,081,Rare,$0.24,Basic,en_US-SWSH3-081-mimikyu.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Sinistea,082,Common,$0.20,Basic,en_US-SWSH3-082-sinistea.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Polteageist,083,Uncommon,$0.25,Stage 1,en_US-SWSH3-083-polteageist.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Diglett,084,Common,$0.15,Basic,en_US-SWSH3-084-diglett.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Dugtrio,085,Uncommon,$0.15,Stage 1,en_US-SWSH3-085-dugtrio.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Larvitar,086,Common,$0.15,Basic,en_US-SWSH3-086-larvitar.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Pupitar,087,Uncommon,$0.15,Stage 1,en_US-SWSH3-087-pupitar.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Tyranitar,088,Rare Holo,$0.50,Stage 2,en_US-SWSH3-088-tyranitar.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Trapinch,089,Common,$0.15,Basic,en_US-SWSH3-089-trapinch.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Vibrava,090,Uncommon,$0.15,Stage 1,en_US-SWSH3-090-vibrava.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Flygon,091,Rare,$0.20,Stage 2,en_US-SWSH3-091-flygon.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Solrock,092,Uncommon,$0.15,Basic,en_US-SWSH3-092-solrock.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Hippopotas,093,Common,$0.15,Basic,en_US-SWSH3-093-hippopotas.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Hippowdon,094,Rare,$0.23,Stage 1,en_US-SWSH3-094-hippowdon.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rhyperior V,095,Rare Holo V,$2.00,Basic,en_US-SWSH3-095-rhyperior_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Diggersby,096,Rare,$0.20,Stage 1,en_US-SWSH3-096-diggersby.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Passimian,097,Common,$0.15,Basic,en_US-SWSH3-097-passimian.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Sirfetch’d,098,Rare,$0.25,Stage 1,en_US-SWSH3-098-galarian_sirfetchd.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Slowbro V,099,Rare Holo V,$2.25,Basic,en_US-SWSH3-099-galarian_slowbro_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Grimer,100,Common,$0.15,Basic,en_US-SWSH3-100-grimer.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Muk,101,Rare,$0.20,Stage 1,en_US-SWSH3-101-muk.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Spinarak,102,Common,$0.15,Basic,en_US-SWSH3-102-spinarak.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Ariados,103,Uncommon,$0.16,Stage 1,en_US-SWSH3-103-ariados.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Crobat V,104,Rare Holo V,$18.00,Basic,en_US-SWSH3-104-crobat_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Darkrai,105,Rare Holo,$0.50,Basic,en_US-SWSH3-105-darkrai.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Purrloin,106,Common,$0.15,Basic,en_US-SWSH3-106-purrloin.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Liepard,107,Rare,$0.20,Stage 1,en_US-SWSH3-107-liepard.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Deino,108,Common,$0.15,Basic,en_US-SWSH3-108-deino.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Zweilous,109,Uncommon,$0.17,Stage 1,en_US-SWSH3-109-zweilous.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Hydreigon,110,Rare,$0.25,Stage 2,en_US-SWSH3-110-hydreigon.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Hoopa,111,Rare Holo,$0.68,Basic,en_US-SWSH3-111-hoopa.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Nickit,112,Common,$0.15,Basic,en_US-SWSH3-112-nickit.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Thievul,113,Rare,$0.25,Stage 1,en_US-SWSH3-113-thievul.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Grimmsnarl V,114,Rare Holo V,$2.16,Basic,en_US-SWSH3-114-grimmsnarl_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Grimmsnarl VMAX,115,Rare Holo VMAX,$4.00,VMAX,en_US-SWSH3-115-grimmsnarl_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Eternatus V,116,Rare Holo V,$4.40,Basic,en_US-SWSH3-116-eternatus_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Eternatus VMAX,117,Rare Holo VMAX,$12.99,VMAX,en_US-SWSH3-117-eternatus_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Scizor V,118,Rare Holo V,$1.99,Basic,en_US-SWSH3-118-scizor_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Scizor VMAX,119,Rare Holo VMAX,$4.46,VMAX,en_US-SWSH3-119-scizor_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Skarmory,120,Common,$0.15,Basic,en_US-SWSH3-120-skarmory.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Aron,121,Common,$0.15,Basic,en_US-SWSH3-121-aron.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Lairon,122,Uncommon,$0.15,Stage 1,en_US-SWSH3-122-lairon.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Aggron,123,Rare Holo,$0.40,Stage 2,en_US-SWSH3-123-aggron.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Escavalier,124,Rare,$0.20,Stage 1,en_US-SWSH3-124-escavalier.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Klink,125,Common,$0.15,Basic,en_US-SWSH3-125-klink.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Klang,126,Uncommon,$0.15,Stage 1,en_US-SWSH3-126-klang.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Klinklang,127,Rare,$0.25,Stage 2,en_US-SWSH3-127-klinklang.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Stunfisk V,128,Rare Holo V,$1.95,Basic,en_US-SWSH3-128-galarian_stunfisk_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Meltan,129,Common,$0.15,Basic,en_US-SWSH3-129-meltan.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Melmetal,130,Rare,$0.20,Stage 1,en_US-SWSH3-130-melmetal.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Cufant,131,Common,$0.16,Basic,en_US-SWSH3-131-cufant.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Copperajah,132,Rare Holo,$0.30,Stage 1,en_US-SWSH3-132-copperajah.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Kangaskhan,133,Rare Holo,$0.33,Basic,en_US-SWSH3-133-kangaskhan.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Tauros,134,Common,$0.16,Basic,en_US-SWSH3-134-tauros.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Sentret,135,Common,$0.15,Basic,en_US-SWSH3-135-sentret.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Furret,136,Uncommon,$0.17,Stage 1,en_US-SWSH3-136-furret.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Dunsparce,137,Common,$0.15,Basic,en_US-SWSH3-137-dunsparce.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Teddiursa,138,Common,$0.15,Basic,en_US-SWSH3-138-teddiursa.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Ursaring,139,Uncommon,$0.16,Stage 1,en_US-SWSH3-139-ursaring.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Lugia,140,Rare,$0.25,Basic,en_US-SWSH3-140-lugia.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Skitty,141,Common,$0.16,Basic,en_US-SWSH3-141-skitty.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Delcatty,142,Rare,$0.20,Stage 1,en_US-SWSH3-142-delcatty.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Salamence V,143,Rare Holo V,$2.29,Basic,en_US-SWSH3-143-salamence_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Salamence VMAX,144,Rare Holo VMAX,$6.50,VMAX,en_US-SWSH3-144-salamence_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Starly,145,Common,$0.16,Basic,en_US-SWSH3-145-starly.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Staravia,146,Uncommon,$0.15,Stage 1,en_US-SWSH3-146-staravia.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Staraptor,147,Rare,$0.23,Stage 2,en_US-SWSH3-147-staraptor.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Ducklett,148,Common,$0.15,Basic,en_US-SWSH3-148-ducklett.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Swanna,149,Rare,$0.20,Stage 1,en_US-SWSH3-149-swanna.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Bunnelby,150,Common,$0.18,Basic,en_US-SWSH3-150-bunnelby.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Fletchling,151,Common,$0.15,Basic,en_US-SWSH3-151-fletchling.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Skwovet,152,Common,$0.17,Basic,en_US-SWSH3-152-skwovet.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Greedent,153,Rare,$0.25,Stage 1,en_US-SWSH3-153-greedent.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rookidee,154,Common,$0.15,Basic,en_US-SWSH3-154-rookidee.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Corvisquire,155,Uncommon,$0.15,Stage 1,en_US-SWSH3-155-corvisquire.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Corviknight,156,Rare Holo,$0.50,Stage 2,en_US-SWSH3-156-corviknight.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Big Parasol,157,Uncommon,$0.20,-----,en_US-SWSH3-157-big_parasol.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Billowing Smoke,158,Uncommon,$0.20,-----,en_US-SWSH3-158-billowing_smoke.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Bird Keeper,159,Uncommon,$0.26,-----,en_US-SWSH3-159-bird_keeper.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Cape of Toughness,160,Uncommon,$0.29,-----,en_US-SWSH3-160-cape_of_toughness.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Familiar Bell,161,Uncommon,$0.20,-----,en_US-SWSH3-161-familiar_bell.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Glimwood Tangle,162,Uncommon,$0.20,-----,en_US-SWSH3-162-glimwood_tangle.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Kabu,163,Uncommon,$0.18,-----,en_US-SWSH3-163-kabu.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Old PC,164,Uncommon,$0.17,-----,en_US-SWSH3-164-old_pc.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Piers,165,Uncommon,$0.26,-----,en_US-SWSH3-165-piers.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Pokémon Breeder’s Nurturing,166,Uncommon,$0.20,-----,en_US-SWSH3-166-pokemon_breeders_nurturing.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rare Fossil,167,Uncommon,$0.20,-----,en_US-SWSH3-167-rare_fossil.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rose,168,Uncommon,$0.25,-----,en_US-SWSH3-168-rose.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rose Tower,169,Uncommon,$0.20,-----,en_US-SWSH3-169-rose_tower.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Spikemuth,170,Uncommon,$0.20,-----,en_US-SWSH3-170-spikemuth.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Struggle Gloves,171,Uncommon,$0.18,-----,en_US-SWSH3-171-struggle_gloves.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Turbo Patch,172,Uncommon,$0.68,-----,en_US-SWSH3-172-turbo_patch.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Yell Horn,173,Uncommon,$0.20,-----,en_US-SWSH3-173-yell_horn.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Heat [R] Energy,174,Uncommon,$0.33,-----,en_US-SWSH3-174-heat_r_energy.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Hiding [D] Energy,175,Uncommon,$0.33,-----,en_US-SWSH3-175-hiding_d_energy.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Powerful [C] Energy,176,Uncommon,$0.25,-----,en_US-SWSH3-176-powerful_c_energy.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Butterfree V,177,Rare Ultra,$4.99,Basic,en_US-SWSH3-177-butterfree_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Houndoom V,178,Rare Ultra,$4.97,Basic,en_US-SWSH3-178-houndoom_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Centiskorch V,179,Rare Ultra,$7.75,Basic,en_US-SWSH3-179-centiskorch_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Vikavolt V,180,Rare Ultra,$8.32,Basic,en_US-SWSH3-180-vikavolt_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rhyperior V,181,Rare Ultra,$3.98,Basic,en_US-SWSH3-181-rhyperior_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Crobat V,182,Rare Ultra,$28.00,Basic,en_US-SWSH3-182-crobat_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Scizor V,183,Rare Ultra,$4.22,Basic,en_US-SWSH3-183-scizor_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Galarian Stunfisk V,184,Rare Ultra,$4.00,Basic,en_US-SWSH3-184-galarian_stunfisk_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Salamence V,185,Rare Ultra,$6.00,Basic,en_US-SWSH3-185-salamence_v.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Kabu,186,Rare Ultra,$4.06,-----,en_US-SWSH3-186-kabu.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Piers,187,Rare Ultra,$8.95,-----,en_US-SWSH3-187-piers.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Pokémon Breeder’s Nurturing,188,Rare Ultra,$4.90,-----,en_US-SWSH3-188-pokemon_breeders_nurturing.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rose,189,Rare Ultra,$5.30,-----,en_US-SWSH3-189-rose.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Butterfree VMAX,190,Rare Rainbow,$21.98,VMAX,en_US-SWSH3-190-butterfree_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Centiskorch VMAX,191,Rare Rainbow,$17.25,VMAX,en_US-SWSH3-191-centiskorch_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Eternatus VMAX,192,Rare Rainbow,$26.18,VMAX,en_US-SWSH3-192-eternatus_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Scizor VMAX,193,Rare Rainbow,$14.75,VMAX,en_US-SWSH3-193-scizor_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Salamence VMAX,194,Rare Rainbow,$20.42,VMAX,en_US-SWSH3-194-salamence_vmax.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Pokémon Breeder’s Nurturing,195,Rare Rainbow,$9.27,-----,en_US-SWSH3-195-pokemon_breeders_nurturing.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rose,196,Rare Rainbow,$9.00,-----,en_US-SWSH3-196-rose.jpg
Sword & Shield,Darkness Ablaze,189,DAA,Rillaboom,197,Rare Secret,$40.13,Stage 2,en_US-SWSH3-197-rillaboom.jpg
